timestamp,compass_y,compass_z,compass_x,gyro_y,reed_relay,object_temp,gyro_z,light,humidity,acc_z,ambient_temp,air_pressure,acc_y,acc_x
2019-04-26T18:07:06.767+05:30,-16.17,-91.67,-35.33,0.58,0,0,0.24,0.08,0,3.96,-40,648.91,-0.09,-0.18
2019-04-26T17:52:47.936+05:30,43.33,-26.33,-57.67,0.79,0,0,-2.02,0.24,30.84,3.94,32.61,648.29,0.07,-0.1
2019-04-26T18:07:07.767+05:30,-12.17,-89.83,-34.83,0.58,0,0,-2.3,0.08,0,3.94,-40,648.91,-0.06,-0.18
2019-04-26T17:52:48.936+05:30,44.17,-27.83,-57.17,0.98,0,0,0.04,0.24,30.84,3.87,32.61,648.35,-0.02,-0.12
2019-04-26T18:07:08.769+05:30,-14.17,-91.33,-34.17,-0.98,0,0,0.06,0.08,0,3.86,-40,648.91,-0.07,-0.16
2019-04-26T17:52:49.945+05:30,44.17,-27,-57.67,0.75,0,0,0.11,0.24,30.84,3.87,32.61,648.24,0,-0.11
2019-04-26T18:07:09.792+05:30,-14,-90.33,-35.5,0.55,0,0,-2.03,0.08,0,3.86,-40,648.91,-0.03,-0.2
2019-04-26T17:52:50.936+05:30,44,-27.67,-56.17,0.54,0,0,0.05,0.24,30.84,3.86,32.61,648.35,-0.02,-0.11
2019-04-26T18:07:10.778+05:30,-14.17,-89.83,-36.17,0.56,0,0,0.09,0.08,0,3.88,-40,648.91,-0.08,-0.18
2019-04-26T17:52:51.937+05:30,43.67,-26.83,-57,0.87,0,0,0.05,0.24,30.84,3.87,32.61,648.4,0.07,-0.11
2019-04-26T18:07:11.769+05:30,-14,-92.33,-36.67,0.73,0,0,-2.27,0.08,0,3.95,-40,648.91,-0.09,-0.17
2019-04-26T17:52:52.937+05:30,44.83,-27.67,-57.33,0.63,0,0,-2.11,0.24,30.84,3.87,32.62,648.22,0.07,-0.1
2019-04-26T18:07:12.770+05:30,-15.5,-91.5,-34.67,-0.8,0,0,-2.1,0.08,0,3.88,-40,648.91,-0.07,-0.16
2019-04-26T17:52:53.938+05:30,44.67,-26.33,-56.83,0.8,0,0,0.03,0.24,30.84,3.95,32.61,648.32,0,-0.1
2019-04-26T18:07:13.774+05:30,-15.17,-90.83,-35.17,0.96,0,0,-2.03,0.08,0,3.87,-40,648.91,-0.09,-0.18
2019-04-26T17:52:54.941+05:30,-0.5,-27,-58.33,0.85,0,0,-2.04,0.24,30.84,3.95,32.62,648.27,-0.01,-0.12
2019-04-26T18:07:14.770+05:30,-15.5,-90.83,-35.17,0.7,0,0,-2.02,0.08,0,3.88,-40,648.91,-0.03,-0.17
2019-04-26T17:52:55.944+05:30,44.33,-26.83,-57.33,0.73,0,0,-2.03,0.24,30.84,3.95,32.59,648.27,0.07,-0.11
2019-04-26T18:07:15.775+05:30,-15.17,-91.17,-35.5,0.8,0,0,0.17,0.08,0,3.85,-40,648.91,0,-0.17
2019-04-26T17:52:56.941+05:30,45.33,-27,-57.17,0.77,0,0,0.16,0.24,30.84,3.87,32.61,648.35,-0.01,-0.12
2019-04-26T18:07:16.772+05:30,-14.33,-90.33,-35.17,0.81,0,0,0.16,0.08,0,3.95,-40,648.91,-0.07,-0.17
2019-04-26T17:52:57.941+05:30,43.33,-26.33,-56.33,0.58,0,0,-2.01,0.24,30.84,3.94,32.61,648.24,-0.01,-0.19
2019-04-26T18:07:17.781+05:30,-14.33,-92,-34.33,0.83,0,0,0.02,0.08,0,3.87,-40,648.91,0,-0.17
2019-04-26T17:52:58.942+05:30,43.67,-26.83,-55.33,0.8,0,0,0.16,0.24,30.84,3.95,32.61,648.29,0.07,-0.11
2019-04-26T18:07:18.774+05:30,-14.5,-91.67,-36.5,0.62,0,0,0,0.08,0,3.96,-40,648.91,-0.05,-0.25
2019-04-26T17:52:59.958+05:30,44,-28,-55,0.66,0,0,-2.17,0.24,30.84,3.87,32.59,648.24,0.06,-0.1
2019-04-26T18:07:19.778+05:30,-13.17,-90.83,-35.83,0.8,0,0,0.27,0.08,0,3.86,-40,648.91,-0.07,-0.21
2019-04-26T17:53:00.944+05:30,44.67,-26.33,-58,0.84,0,0,0.08,0.24,30.84,3.94,32.61,648.29,-0.02,-0.1
2019-04-26T18:07:20.770+05:30,-13.83,-89.83,-36.5,0.91,0,0,0.16,0.08,0,3.85,-40,648.91,-0.04,-0.16
2019-04-26T17:53:01.945+05:30,45.67,-27.33,-56.17,0.75,0,0,-2.29,0.24,30.84,3.86,32.61,648.37,-0.01,-0.11
2019-04-26T18:07:21.769+05:30,-14.83,-89.67,-33.5,0.82,0,0,0.02,0.08,0,3.86,-40,648.91,-0.09,-0.26
2019-04-26T17:53:02.946+05:30,44,-26.17,-57.83,0.41,0,0,0.05,0.24,30.84,3.85,32.61,648.35,0.06,-0.1
2019-04-26T18:07:22.769+05:30,-13.5,-92.67,-36.33,0.76,0,0,0.28,0.08,0,3.85,-40,648.91,-0.06,-0.2
2019-04-26T17:53:03.954+05:30,44.67,-26.67,-57.17,0.84,0,0,0.09,0.24,30.84,3.87,32.62,648.4,-0.01,-0.1
2019-04-26T18:07:23.774+05:30,-14.5,-90.17,-34.5,-0.97,0,0,-2.02,0.08,0,3.87,-40,648.91,-0.04,-0.16
2019-04-26T17:53:04.946+05:30,44,-27.67,-55.33,0.87,0,0,0.07,0.24,30.84,3.86,32.61,648.32,0.07,-0.12
2019-04-26T18:07:24.772+05:30,-15.33,-90.67,-37.33,0.77,0,0,-2.06,0.08,0,3.87,-40,648.91,-0.04,-0.19
2019-04-26T17:53:05.947+05:30,44,-27.33,-56.17,0.78,0,0,0.03,0.24,30.84,3.87,32.61,648.35,0,-0.12
2019-04-26T18:07:25.771+05:30,-13.83,-91,-36.5,0.69,0,0,0.53,0.08,0,3.86,-40,648.91,-0.08,-0.22
2019-04-26T17:53:06.953+05:30,44.83,-26.83,-57,0.86,0,0,-2.15,0.24,30.84,3.94,32.61,648.32,0.07,-0.12
2019-04-26T18:07:26.770+05:30,-14.33,-93.17,-35.17,0.7,0,0,-2.08,0.08,0,3.86,-40,648.91,-0.08,-0.22
2019-04-26T17:53:07.992+05:30,45.17,-25.67,-56.67,-0.97,0,0,-2.27,0.24,30.84,3.87,32.61,648.42,0.08,-0.1
2019-04-26T18:07:27.770+05:30,-14.33,-91.5,-36.67,0.8,0,0,-2.18,0.08,0,3.86,-40,648.91,-0.03,-0.16
2019-04-26T17:53:09.034+05:30,45.67,-26.83,-58.17,0.8,0,0,0.15,0.24,30.84,3.88,32.61,648.32,0,-0.11
2019-04-26T18:07:28.781+05:30,-15,-89.5,-36.17,0.85,0,0,0.38,0.08,0,3.95,-40,648.91,-0.03,-0.16
2019-04-26T17:53:09.948+05:30,44.67,-26.67,-57.67,-0.97,0,0,-2.07,0.24,30.74,3.87,32.61,648.45,-0.01,-0.1
2019-04-26T18:07:29.781+05:30,-15,-91,-36.83,0.48,0,0,-2.01,0.08,0,3.87,-40,648.91,0.02,-0.17
2019-04-26T17:53:11.010+05:30,43.33,-28.67,-56.33,0.83,0,0,-2.05,0.24,30.74,3.86,32.61,648.35,0.07,-0.11
2019-04-26T18:07:30.770+05:30,-14.17,-91.33,-35.67,0.98,0,0,0.08,0.08,0,3.87,-40,648.91,-0.05,-0.2
2019-04-26T17:53:11.952+05:30,45.17,-27.33,-56.67,0.99,0,0,0.15,0.24,30.74,3.87,32.61,648.45,0.07,-0.12
2019-04-26T18:07:31.776+05:30,-12.33,-90.33,-35.17,0.97,0,0,-2.07,0.08,0,3.94,-40,648.91,-0.09,-0.21
2019-04-26T17:53:12.956+05:30,45,-26,-56.33,0.7,0,0,0.03,0.24,30.74,3.87,32.61,648.4,0.07,-0.11
2019-04-26T18:07:32.782+05:30,-13.33,-91,-36.5,0.67,0,0,-2.03,0.08,0,3.86,-40,648.91,-0.04,-0.21
2019-04-26T17:53:13.949+05:30,43.83,-26.67,-57.67,-1,0,0,-2.13,0.24,30.74,3.85,32.61,648.42,-0.02,-0.11
2019-04-26T18:07:33.773+05:30,-12.83,-90.83,-36.33,0.64,0,0,-2.09,0.08,0,3.86,-40,648.91,-0.09,-0.19
2019-04-26T17:53:15.057+05:30,44,-27.67,-57,0.68,0,0,-2.09,0.24,30.74,3.95,32.61,648.45,0.07,-0.11
